section,plant,date,acp_target,acp_actual,pack_target,pack_actual,sales_target,sales_actual,turnover_target,turnover_actual,mp_prod_target,mp_prod_actual,mp_maint_target,mp_maint_actual,upc_target,upc_actual,remarks
daily,P-5,15-05-2026,3683,3569,3683,3552,8000,1920,18.192,4.39,59,56,11,12,0.12,0.117557,
daily,P-6,15-05-2026,6450,6480.06,6450,6450,4234,4838.4,15.960672,19.64,287,293,91,76,0.105523,0.105366,
daily,P-7,15-05-2026,12463,12207,12463,12544,6400,8640,12.032,17.28,130,123,24,19,0.106263,0.098301,
daily,P-9,15-05-2026,10553,10490,10553,10357.2,9677,7257.6,36.421056,27.65,459,460,150,134,0.119322,0.117621,
daily,P-10,15-05-2026,4735,4739,4735,4777.92,3629,4838.4,13.716864,19.93,223,231,60,52,0.114742,0.108264,
daily,P-11,15-05-2026,5072,5082,5072,5115.2,4234,2721.6,15.579648,10.45,217,223,63,75.5,0.103763,0.105605,
daily,P-4,16-05-2026,1447,1677,1447,2976,4320,0,10.0224,0,54,41,3,0,0.125,0.131875,
daily,P-5,16-05-2026,1871,2159,1871,3552,0,0,0,0,59,50,11,0,0.12,0.132642,
daily,P-6,16-05-2026,3280,3502.1,3280,3541,2750,0,10.8625,0,287,202.5,91,3,0.105523,0.107147,
daily,P-7,16-05-2026,6395,8179,6395,12032,13440,15360,24.192,28.57,130,91,24,0,0.106263,0.107835,
daily,P-9,16-05-2026,5370,6355,5370,6501.6,6048,0,22.49856,0,459,322,150,43,0.119322,0.119801,
daily,P-10,16-05-2026,3283,3083,3283,2903.04,6804,0,25.1748,0,223,161,60,7,0.114742,0.109743,
daily,P-11,16-05-2026,2590,2867,2590,2918.16,0,4536,0,16.97,217,154,63,12,0.103763,0.107555,
daily,P-4,17-05-2026,2894,2580,2894,2400,0,0,0,0,54,53,3,0,0.125,0.131502,
daily,P-5,17-05-2026,3742,3569,3742,2240,0,0,0,0,59,55,11,0,0.12,0.117557,
daily,P-6,17-05-2026,6559,6499.1,6559,6560,0,0,0,0,287,293,91,20,0.105523,0.105366,
daily,P-7,17-05-2026,12789,12531,12789,7040,0,0,0,0,130,118,24,6,0.106263,0.098301,
daily,P-9,17-05-2026,10740,10370,10740,10447.92,0,7257.6,0,28.93,459,460,150,68,0.119322,0.117621,
daily,P-10,17-05-2026,4735,4737,4735,4747.68,0,2419.2,0,9.12,223,222,60,18,0.114742,0.108264,
daily,P-11,17-05-2026,5179,5078,5179,5095.44,0,0,0,0,217,218,63,19,0.103763,0.105605,
daily,P-4,18-05-2026,2894,2720,2894,2880,4800,5280,11.136,13.04,54,53,3,4,0.125,0.127984,
daily,P-5,18-05-2026,3742,3510,3742,3488,8000,6000,18.192,14.62,59,52,11,10,0.12,0.119894,
daily,P-6,18-05-2026,6559,6530.64,6559,6544,15259,19769,58.36793,81.46,287,287,91,72,0.105523,0.105943,
daily,P-7,18-05-2026,12789,12277,12789,12544,13440,28160,25.2672,54.85,130,120,24,23,0.106263,0.115099,
daily,P-9,18-05-2026,10740,10450,10740,10372.32,25704,17237,96.20856,67.71,459,452,150,112,0.119322,0.117081,
daily,P-10,18-05-2026,4735,4735,4735,4732.56,11340,11309.76,42.32088,43.94,223,221,60,43,0.114742,0.11061,
daily,P-11,18-05-2026,5179,5084,5179,5095.44,11340,10886.4,42.11676,43.04,217,223,63,52,0.103763,0.100089,
remarks,P-4,,,,,,,,,,,,,,,,"Speed OE-1 83000/80000, OE-4,5 93000/90000, OE-6 85000/80000, . OE-4,5 TM 6.50/7.00"
remarks,P-5,,,,,,,,,,,,,,,,"OE-1,2,3 TM 7.50/7.80,  OE m/c.no : 2 LHS Rotor belt change awork 50 mins idle"
remarks,P-6,,,,,,,,,,,,,,,,"Spg 37,40 Bottom Apron Change 145 mins idle"
remarks,P-7,,,,,,,,,,,,,,,,"20sK Speed 95000/93000, 16sK 95000/90500, OE : 2 Clg work & electrical checking work - 6.0 Hrs idle"
remarks,P-9,,,,,,,,,,,,,,,,"61sCC Su Speed 22500/22000, Hand shortage"
remarks,P-11,,,,,,,,,,,,,,,,SPG M/c.17 RHS Jockey Pulley service work - 56 Mins idle
sales_remarks,P-5,,,,,,,,,,,,,,,,Production Shortage
sales_remarks,P-9,,,,,,,,,,,,,,,,61sC - 6109 - 68 Bags & 60sC - 606 - 74 Bags Stock
sales_remarks,P-10,,,,,,,,,,,,,,,,Production Shortage
sales_remarks,P-11,,,,,,,,,,,,,,,,Production Shortage
turnover_remarks,P-5,,,,,,,,,,,,,,,,Production Shortage
turnover_remarks,P-9,,,,,,,,,,,,,,,,61sC - 6109 - 68 Bags & 60sC - 606 - 74 Bags Stock
